date,equity,positions
2018-01-31,100000.0,7
2018-02-28,100952.43622274013,7
2018-03-31,102302.58342901613,7
2018-04-30,108763.72967906178,7
2018-05-31,112405.97955410881,7
2018-06-30,112819.06076468364,7
2018-07-31,110999.17444627188,6
2018-08-31,112634.24439621318,6
2018-09-30,116231.70120156837,7
2018-10-31,105057.59146717044,5
2018-11-30,102867.59908045444,4
2018-12-31,100410.94570644893,2
2019-01-31,102680.83220899323,4
2019-02-28,102456.56417975941,4
2019-03-31,103415.53169463377,4
2019-04-30,105128.66575846131,7
2019-05-31,101033.03775512478,4
2019-06-30,102407.69072829282,6
2019-07-31,102600.28407589733,6
2019-08-31,99264.95038113256,3
2019-09-30,101301.87880590574,5
2019-10-31,103196.7116377156,7
2019-11-30,103130.46737669987,6
2019-12-31,104509.22521136397,7
2020-01-31,104146.83349656158,8
2020-02-29,97881.53028191606,4
2020-03-31,91088.4138650486,0
2020-04-30,91088.4138650486,0
2020-05-31,91088.4138650486,0
2020-06-30,91088.4138650486,2
2020-07-31,90645.27297054624,4
2020-08-31,93323.58218017922,4
2020-09-30,93700.5354981148,6
2020-10-31,91082.44522228045,4
2020-11-30,97601.1534885838,5
2020-12-31,98488.33551661504,7
2021-01-31,99110.80425125908,9
2021-02-28,103063.66032525228,10
2021-03-31,105647.19213527685,10
2021-04-30,107511.23517273438,10
2021-05-31,109126.3514859573,10
2021-06-30,112556.49410503224,10
2021-07-31,111911.85324848417,10
2021-08-31,113192.98895667569,9
2021-09-30,114253.94490021832,7
2021-10-31,116716.00447243944,8
2021-11-30,114666.69646824495,10
2021-12-31,120155.58237131253,10
2022-01-31,119111.24157850219,8
2022-02-28,120913.2201041531,6
2022-03-31,129306.19150657003,6
2022-04-30,127089.82754051522,6
2022-05-31,133405.19628899576,8
2022-06-30,119862.2535301619,3
2022-07-31,121524.53571536811,3
2022-08-31,124279.39218187799,4
2022-09-30,119966.59897707061,5
2022-10-31,126343.40484537552,6
2022-11-30,129250.57560812187,6
2022-12-31,127624.26041769926,6
2023-01-31,126251.10145754606,5
2023-02-28,128287.72241449564,9
2023-03-31,121006.14169235411,6
2023-04-30,120050.98323052068,5
2023-05-31,116608.58094000326,6
2023-06-30,119222.97972800865,4
2023-07-31,120933.19636419193,4
2023-08-31,121127.12338826839,4
2023-09-30,123014.54449795408,5
2023-10-31,121786.46105944226,6
2023-11-30,123720.44521254007,6
2023-12-31,126123.1404989322,7
2024-01-31,123863.85060955006,6
2024-02-29,125868.64600692711,5
2024-03-31,128680.44899849204,5
2024-04-30,128068.92258984229,5
2024-05-31,132332.3606429223,6
2024-06-30,131589.52567761403,8
2024-07-31,133904.81043374384,6
2024-08-31,129283.19589784808,5
2024-09-30,125687.5786937416,4
2024-10-31,125474.53762365853,5
2024-11-30,126063.61407004039,7
2024-12-31,124691.36534015309,5
2025-01-31,128383.53896567335,8
2025-02-28,133655.559542531,6
2025-03-31,130347.43066607766,4
2025-04-30,131888.98402918212,4
2025-05-31,135508.67345594856,4
2025-06-30,136459.61513465608,5
2025-07-31,136802.68539046502,6
2025-08-31,136109.02895891407,7
2025-09-30,139512.66174701095,8
2025-10-31,142516.54082859546,8
2025-11-30,146526.80002071674,8
2025-12-31,154501.6873532234,8
2026-01-31,164713.15439384413,8
2026-02-28,166664.74631210946,8
2026-03-31,179372.04832041092,9
