type,entry_price,exit_price,qty,pnl,pnl_pct,bars_held,reason,entry_date,exit_date
CORE,253.02703857421875,258.27587890625,197.3109288292754,959.2125808478639,2.074418750505047,42,TREND EXIT,2024-04-04,2024-06-07
TRIM,253.02703857421875,258.27587890625,197.3109288292754,959.2125808478639,2.074418750505047,42,TREND EXIT,2024-04-04,2024-06-07
CORE,261.6109619140625,252.73184204101562,194.2116105924745,-1798.053358324264,-3.394016752235174,8,TREND EXIT,2024-06-27,2024-07-09
TRIM,261.6109619140625,252.73184204101562,194.2116105924745,-1798.053358324264,-3.394016752235174,8,TREND EXIT,2024-06-27,2024-07-09
CORE,260.59423828125,249.17715454101562,187.7874141694631,-2214.1731332168783,-4.381172744085127,3,TREND EXIT,2024-08-19,2024-08-22
TRIM,260.59423828125,249.17715454101562,187.7874141694631,-2214.1731332168783,-4.381172744085127,3,TRIM SL,2024-08-19,2024-08-22
CORE,254.3303680419922,250.1100311279297,183.43095306591812,-842.9573044774739,-1.6593916591846725,3,TREND EXIT,2024-08-28,2024-09-02
TRIM,254.3303680419922,250.1100311279297,183.43095306591812,-842.9573044774739,-1.6593916591846725,3,TREND EXIT,2024-08-28,2024-09-02
CORE,244.39288330078125,235.56654357910156,187.1592585862178,-1718.0638878056282,-3.6115371292611886,10,TREND EXIT,2024-11-29,2024-12-13
TRIM,244.39288330078125,235.56654357910156,187.1592585862178,-1718.0638878056282,-3.6115371292611886,10,TREND EXIT,2024-11-29,2024-12-13
TRIM,260.3534240722656,245.07884216308594,168.83316830080958,-2640.9222143058673,-5.866864230270297,15,TRIM SL,2025-01-03,2025-01-24
CORE,260.3534240722656,245.0331268310547,168.83316830080958,-2648.6289012561065,-5.884423181989162,16,TREND EXIT,2025-01-03,2025-01-27
CORE,255.1317901611328,247.784423828125,161.6793838329303,-1248.010110967413,-2.8798317639551985,9,DAILY BREAKER,2025-03-21,2025-04-03
TRIM,255.1317901611328,247.784423828125,161.6793838329303,-1248.010110967413,-2.8798317639551985,9,DAILY BREAKER,2025-03-21,2025-04-03
